PENDLE,SELL,LIMIT,IOC,256,6.1618936,6.2853257,FILLED,14,256,1712934207674,1577.4447616
SAGA,BUY,LIMIT,IOC,438.5,4.6258292,4.5736272,FILLED,5.7,438.5,1712934209087,2028.4261042
SAGA,BUY,LIMIT,IOC,256.6,4.6365517,4.5764000,FILLED,256.6,256.6,1712934210174,1189.73916622
SAGA,BUY,LIMIT,IOC,1.9,4.6405047,4.5699000,FILLED,1.9,1.9,1712934212695,8.81695893
DUSK,SELL,LIMIT,IOC,1487,0.41344,0.42160,FILLED,894,1487,1712934219141,614.78528
BOME,BUY,LIMIT,IOC,542,0.0112748,0.0111160,FILLED,542,542,1712934220181,6.1109416
RIF,SELL,LIMIT,IOC,121,0.2339624,0.2370500,FILLED,121,121,1712934221215,28.3094504
CYBER,SELL,LIMIT,IOC,367.3,11.525264,11.755176,FILLED,8.7,367.3,1712934221771,4233.2294672
RIF,SELL,LIMIT,IOC,7542,0.2335075,0.2369379,FILLED,2505,7542,1712934223149,1761.113565
DUSK,SELL,LIMIT,IOC,330,0.41259,0.42040,FILLED,124,330,1712934224071,136.1547
ENA,BUY,LIMIT,IOC,3167,1.2982083,1.2800000,FILLED,3167,3167,1712934225093,4111.4256861
PENDLE,SELL,LIMIT,IOC,3,6.1586746,6.2841000,FILLED,3,3,1712934227237,18.4760238
WLD,BUY,LIMIT,IOC,764,6.6476920,6.6131664,FILLED,49,764,1712934230404,5078.836688
DUSK,SELL,LIMIT,IOC,1162,0.41214,0.41993,FILLED,209,1162,1712934236544,478.90668
SAGA,BUY,LIMIT,IOC,26.4,4.6437804,4.5778000,FILLED,23.5,26.4,1712934240105,122.59580255999998
ENA,SELL,LIMIT,IOC,111,1.2497551,1.2670000,FILLED,111,111,1712934240120,138.7228161
ATOM,SELL,LIMIT,IOC,259.71,10.455,10.517,FILLED,16.84,259.71,1712934241650,2715.2680499999997
DUSK,SELL,LIMIT,IOC,3537,0.41195,0.42009,FILLED,783,3537,1712934241687,1457.0671499999999
CFX,SELL,LIMIT,IOC,642,0.3290375,0.3320146,FILLED,72,642,1712934245230,211.242075
ATOM,SELL,LIMIT,IOC,226.69,10.450,10.511,FILLED,118.45,226.69,1712934245280,2368.9105
ETHFI,SELL,LIMIT,IOC,268.0,4.8655977,4.9330000,FILLED,18.7,268.0,1712934245371,1303.9801836000001
CYBER,SELL,LIMIT,IOC,0.1,11.517603,11.746000,FILLED,0.1,0.1,1712934245518,1.1517603
OM,SELL,LIMIT,IOC,164.7,0.9446914,0.9583105,FILLED,156.4,164.7,1712934249333,155.59067358
DUSK,SELL,LIMIT,IOC,3394,0.41131,0.41892,FILLED,1055,3394,1712934250050,1395.98614
BLUR,SELL,LIMIT,IOC,5179,0.4817036,0.4882096,FILLED,695,5179,1712934250050,2494.7429444
DUSK,SELL,LIMIT,IOC,9,0.41093,0.41921,FILLED,9,9,1712934252242,3.69837
APT,SELL,LIMIT,IOC,362.5,11.10853,11.21525,FILLED,33.1,362.5,1712934254619,4026.842125
OXT,SELL,LIMIT,IOC,29722,0.1246267,0.1271006,FILLED,1340,29722,1712934254619,3704.1547774
ENS,SELL,LIMIT,IOC,1.4,18.414,18.690,FILLED,1.1,1.4,1712934255166,25.779600000000002
RIF,SELL,LIMIT,IOC,174,0.2332011,0.2367300,FILLED,174,174,1712934256061,40.5769914
ACE,SELL,LIMIT,IOC,22.61,7.752244,7.868000,FILLED,22.61,22.61,1712934256220,175.27823684
OXT,SELL,LIMIT,IOC,18168,0.1246028,0.1270423,FILLED,1243,18168,1712934256525,2263.7836704
DUSK,SELL,LIMIT,IOC,1140,0.41083,0.41904,FILLED,442,1140,1712934257724,468.34619999999995
APT,SELL,LIMIT,IOC,2.4,11.09871,11.21200,FILLED,1.2,2.4,1712934258281,26.636904
FIL,SELL,LIMIT,IOC,9.0,7.771,7.816,FILLED,9.0,9.0,1712934259082,69.939
GTC,SELL,LIMIT,IOC,10000.0,1.617,1.653,FILLED,67.1,10000.0,1712934260411,16170.0
CFX,SELL,LIMIT,IOC,252,0.3284324,0.3316500,FILLED,252,252,1712934261199,82.7649648
ATOM,SELL,LIMIT,IOC,120.73,10.446,10.506,FILLED,120.73,120.73,1712934261375,1261.14558
BAKE,SELL,LIMIT,IOC,1676,0.3422,0.3471,FILLED,1485,1676,1712934262267,573.5272
EDU,SELL,LIMIT,IOC,1811,0.7726491,0.7837802,FILLED,357,1811,1712934262283,1399.2675201
DENT,SELL,LIMIT,IOC,41413,0.001753,0.001786,FILLED,41413,41413,1712934262296,72.596989
ENS,SELL,LIMIT,IOC,303.6,18.387,18.680,FILLED,8.8,303.6,1712934262528,5582.293200000001
CFX,SELL,LIMIT,IOC,746,0.3283336,0.3313195,FILLED,498,746,1712934262552,244.9368656
ONE,SELL,LIMIT,IOC,8500,0.02499,0.02521,FILLED,4722,8500,1712934262552,212.415
AEVO,SELL,LIMIT,IOC,45.0,2.0894813,2.1210000,FILLED,17.8,45.0,1712934263460,94.02665850000001
DAR,SELL,LIMIT,IOC,28.1,0.2141,0.2183,FILLED,28.1,28.1,1712934263517,6.016210000000001
BAKE,SELL,LIMIT,IOC,1468,0.3420,0.3470,FILLED,1251,1468,1712934264531,502.05600000000004
TAO,SELL,LIMIT,IOC,5.449,571.58,579.83,FILLED,0.026,5.449,1712934272366,3114.53942
ACE,SELL,LIMIT,IOC,46.42,7.747744,7.861815,FILLED,11.77,46.42,1712934279481,359.65027648
ACE,SELL,LIMIT,IOC,0.65,7.743791,7.861500,FILLED,0.65,0.65,1712934282131,5.03346415
DOT,SELL,LIMIT,IOC,441.7,8.094,8.144,FILLED,70.2,441.7,1712934291095,3575.1197999999995
DUSK,SELL,LIMIT,IOC,2808,0.41073,0.41834,FILLED,2631,2808,1712934293071,1153.3298399999999
CYBER,SELL,LIMIT,IOC,100.7,11.504638,11.733128,FILLED,2.1,100.7,1712934295291,1158.5170466
AXS,SELL,LIMIT,IOC,30,9.05638,9.11000,FILLED,30,30,1712934295432,271.69140000000004
AXS,SELL,LIMIT,IOC,38,9.05593,9.11000,FILLED,8,38,1712934296458,344.12534
CYBER,SELL,LIMIT,IOC,415.3,11.501703,11.729237,FILLED,4.5,415.3,1712934297056,4776.6572559
BOME,SELL,LIMIT,IOC,44612,0.0108867,0.0110441,FILLED,15233,44612,1712934297656,485.6774604
AXS,SELL,LIMIT,IOC,23,9.05473,9.10600,FILLED,3,23,1712934299638,208.25878999999998
AXS,SELL,LIMIT,IOC,13,9.05312,9.10600,FILLED,13,13,1712934303294,117.69056
ONG,SELL,LIMIT,IOC,52,0.5712666,0.5789953,FILLED,38,52,1712934313137,29.705863199999996
JASMY,SELL,LIMIT,IOC,4397,0.021759,0.022081,FILLED,4397,4397,1712934313182,95.674323
ARB,SELL,LIMIT,IOC,2083.5,1.366860,1.374545,FILLED,1139.6,2083.5,1712934313344,2847.85281
GAS,BUY,LIMIT,IOC,75.4,7.033992,6.933000,FILLED,73.1,75.4,1712934314252,530.3629968
REEF,SELL,LIMIT,IOC,4273,0.002891,0.002948,FILLED,4273,4273,1712934316303,12.353242999999999
ONG,SELL,LIMIT,IOC,34,0.5696237,0.5780000,FILLED,34,34,1712934323206,19.367205799999997
DOGE,BUY,LIMIT,IOC,52,0.193613,0.192770,FILLED,52,52,1712934335135,10.067876
JASMY,SELL,LIMIT,IOC,3534,0.021708,0.022035,FILLED,3534,3534,1712934342498,76.71607200000001
REEF,SELL,LIMIT,IOC,172993,0.002889,0.002945,FILLED,6653,172993,1712934344199,499.77677700000004
ENA,SELL,LIMIT,IOC,1975,1.2479844,1.2660000,FILLED,1975,1975,1712934344306,2464.76919
REEF,SELL,LIMIT,IOC,12091,0.002889,0.002946,FILLED,12091,12091,1712934345312,34.930899000000004
EDU,SELL,LIMIT,IOC,3230,0.7716491,0.7831744,FILLED,1876,3230,1712934345568,2492.426593
AVAX,SELL,LIMIT,IOC,68,43.9701,44.1996,FILLED,1,68,1712934345569,2989.9668
WIF,SELL,LIMIT,IOC,98.8,3.0981957,3.1425000,FILLED,38.9,98.8,1712934345569,306.10173516000003
OXT,SELL,LIMIT,IOC,780,0.1244355,0.1269233,FILLED,527,780,1712934348153,97.05969
RIF,SELL,LIMIT,IOC,8087,0.2329503,0.2364361,FILLED,206,8087,1712934350198,1883.8690761
ALT,SELL,LIMIT,IOC,3663,0.5519704,0.5594499,FILLED,418,3663,1712934351142,2021.8675752
MINA,SELL,LIMIT,IOC,593,0.9831954,0.9982949,FILLED,30,593,1712934351516,583.0348722
BAKE,SELL,LIMIT,IOC,2010,0.3416,0.3466,FILLED,175,2010,1712934355376,686.616
ENA,SELL,LIMIT,IOC,335,1.2471439,1.2660000,FILLED,335,335,1712934356184,417.7932065
1000PEPEUSDC,SELL,LIMIT,IOC,215101,0.0067557,0.0068557,FILLED,25215,215101,1712934356434,1453.1578256999999
APT,SELL,LIMIT,IOC,369.5,11.09740,11.20679,FILLED,9.8,369.5,1712934357072,4100.4893
APT,SELL,LIMIT,IOC,30.1,11.09420,11.20900,FILLED,2.1,30.1,1712934358322,333.93542
ALGO,SELL,LIMIT,IOC,700.0,0.2179,0.2211,FILLED,700.0,700.0,1712934358406,152.53
HOOK,SELL,LIMIT,IOC,76.8,1.176623,1.200100,FILLED,76.8,76.8,1712934362110,90.3646464
APT,SELL,LIMIT,IOC,66.2,11.09318,11.20480,FILLED,12.7,66.2,1712934362167,734.368516
MANTA,SELL,LIMIT,IOC,518.6,2.4942585,2.5184473,FILLED,58.1,518.6,1712934362274,1293.5224581
SSV,SELL,LIMIT,IOC,6.28,46.074020,47.018796,FILLED,0.28,6.28,1712934364167,289.3448456
APT,SELL,LIMIT,IOC,1.5,11.09160,11.20600,FILLED,1.5,1.5,1712934368223,16.6374
DOGE,BUY,LIMIT,IOC,3318,0.193825,0.193060,FILLED,2094,3318,1712934371201,643.11135
DOGE,BUY,LIMIT,IOC,10446,0.193927,0.193160,FILLED,598,10446,1712934372506,2025.761442
ONG,BUY,LIMIT,IOC,1452,0.5902686,0.5816275,FILLED,135,1452,1712934373376,857.0700072000001
DOGE,BUY,LIMIT,IOC,2176,0.194164,0.193330,FILLED,2176,2176,1712934376143,422.500864
ENA,BUY,LIMIT,IOC,591,1.2896674,1.2720000,FILLED,548,591,1712934380352,762.1934333999999
